symbol,reason
0GUSDT,no coingecko match
1000000BOBUSDT,no coingecko match
1000000MOGUSDT,no coingecko match
1000BONKUSDT,no coingecko match
1000BTTCUSDT,no coingecko match
1000CATUSDT,no coingecko match
1000CHEEMSUSDT,no coingecko match
1000FLOKIUSDT,no coingecko match
1000LUNCUSDT,no coingecko match
1000PEPEUSDT,no coingecko match
1000RATSUSDT,no coingecko match
1000SATSUSDT,no coingecko match
1000SHIBUSDT,no coingecko match
1000WHYUSDT,no coingecko match
1000XECUSDT,no coingecko match
1000XUSDT,no coingecko match
1INCHUSDT,no coingecko match
1MBABYDOGEUSDT,no coingecko match
2ZUSDT,no coingecko match
42USDT,no coingecko match
4USDT,no coingecko match
A2ZUSDT,no coingecko match
AAOIUSDT,no coingecko match
AAPLUSDT,no coingecko match
AAVEUSDT,no coingecko match
ACEUSDT,no coingecko match
ACHUSDT,no coingecko match
ACTUSDT,no coingecko match
ACUUSDT,no coingecko match
ACXUSDT,no coingecko match
ADAUSDT,no coingecko match
ADBEUSDT,no coingecko match
AERGOUSDT,no coingecko match
AEROUSDT,no coingecko match
AEVOUSDT,no coingecko match
AGIXUSDT,no coingecko match
AGLDUSDT,no coingecko match
AGTUSDT,no coingecko match
AI16ZUSDT,no coingecko match
AIAUSDT,no coingecko match
AIGENSYNUSDT,no coingecko match
AINUSDT,no coingecko match
AIOTUSDT,no coingecko match
AIOUSDT,no coingecko match
AIUSDT,no coingecko match
AIXBTUSDT,no coingecko match
AKEUSDT,no coingecko match
AKROUSDT,no coingecko match
AKTUSDT,no coingecko match
ALABUSDT,no coingecko match
ALCHUSDT,no coingecko match
ALGOUSDT,no coingecko match
ALICEUSDT,no coingecko match
ALLOUSDT,no coingecko match
ALLUSDT,no coingecko match
ALPACAUSDT,no coingecko match
ALPHAUSDT,no coingecko match
ALPINEUSDT,no coingecko match
ALTUSDT,no coingecko match
AMATUSDT,no coingecko match
AMBUSDT,no coingecko match
AMDUSDT,no coingecko match
AMZNUSDT,no coingecko match
ANCUSDT,no coingecko match
ANIMEUSDT,no coingecko match
ANKRUSDT,no coingecko match
ANTHROPICUSDT,no coingecko match
ANTUSDT,no coingecko match
APEUSDT,no coingecko match
API3USDT,no coingecko match
APPUSDT,no coingecko match
APRUSDT,no coingecko match
APTUSDT,no coingecko match
ARBUSDT,no coingecko match
ARCUSDT,no coingecko match
ARIAUSDT,no coingecko match
ARKMUSDT,no coingecko match
ARKUSDT,no coingecko match
ARMUSDT,no coingecko match
ARPAUSDT,no coingecko match
ARUSDT,no coingecko match
ARXUSDT,no coingecko match
ASMLUSDT,no coingecko match
ASRUSDT,no coingecko match
ASTERUSDT,no coingecko match
ASTRUSDT,no coingecko match
ASTSUSDT,no coingecko match
ATAUSDT,no coingecko match
ATHUSDT,no coingecko match
ATOMUSDT,no coingecko match
ATUSDT,no coingecko match
AUCTIONUSDT,no coingecko match
AUDIOUSDT,no coingecko match
AUSDT,no coingecko match
AVAAIUSDT,no coingecko match
AVAUSDT,no coingecko match
AVAXUSDT,no coingecko match
AVGOUSDT,no coingecko match
AVNTUSDT,no coingecko match
AWEUSDT,no coingecko match
AXLUSDT,no coingecko match
AXSUSDT,no coingecko match
AXTIUSDT,no coingecko match
AZTECUSDT,no coingecko match
B2USDT,no coingecko match
B3USDT,no coingecko match
BABAUSDT,no coingecko match
BABYUSDT,no coingecko match
BADGERUSDT,no coingecko match
BAKEUSDT,no coingecko match
BALUSDT,no coingecko match
BANANAS31USDT,no coingecko match
BANANAUSDT,no coingecko match
BANDUSDT,no coingecko match
BANKUSDT,no coingecko match
BANUSDT,no coingecko match
BARDUSDT,no coingecko match
BASEDUSDT,no coingecko match
BASUSDT,no coingecko match
BATUSDT,no coingecko match
BBUSDT,no coingecko match
BBXUSDT,no coingecko match
BCHUSDT,no coingecko match
BDXNUSDT,no coingecko match
BEAMXUSDT,no coingecko match
BEATUSDT,no coingecko match
BELUSDT,no coingecko match
BERAUSDT,no coingecko match
BEUSDT,no coingecko match
BICOUSDT,no coingecko match
BIDUSDT,no coingecko match
BIGTIMEUSDT,no coingecko match
BILLUSDT,no coingecko match
BIOUSDT,no coingecko match
BIRBUSDT,no coingecko match
BITOUSDT,no coingecko match
BLESSUSDT,no coingecko match
BLUAIUSDT,no coingecko match
BLUEBIRDUSDT,no coingecko match
BLURUSDT,no coingecko match
BLZUSDT,no coingecko match
BMNRUSDT,no coingecko match
BMTUSDT,no coingecko match
BNBUSDT,no coingecko match
BNCUSDT,no coingecko match
BNTUSDT,no coingecko match
BNXUSDT,no coingecko match
BOBUSDT,no coingecko match
BOMEUSDT,no coingecko match
BONDUSDT,no coingecko match
BOTUSDT,no coingecko match
BRETTUSDT,no coingecko match
BREVUSDT,no coingecko match
BRKBUSDT,no coingecko match
BROCCOLI714USDT,no coingecko match
BROCCOLIF3BUSDT,no coingecko match
BRUSDT,no coingecko match
BSBUSDT,no coingecko match
BSPUSDT,no coingecko match
BSVUSDT,no coingecko match
BSWUSDT,no coingecko match
BTCDOMUSDT,no coingecko match
BTCSTUSDT,no coingecko match
BTCUSDT,no coingecko match
BTRUSDT,no coingecko match
BTSUSDT,no coingecko match
BTTUSDT,no coingecko match
BTWUSDT,no coingecko match
BULLAUSDT,no coingecko match
BUSDT,no coingecko match
BXUSDT,no coingecko match
BZRXUSDT,no coingecko match
BZUSDT,no coingecko match
C98USDT,no coingecko match
CAKEUSDT,no coingecko match
CAPUSDT,no coingecko match
CARVUSDT,no coingecko match
CATIUSDT,no coingecko match
CATUSDT,no coingecko match
CBRSUSDT,no coingecko match
CCUSDT,no coingecko match
CELOUSDT,no coingecko match
CELRUSDT,no coingecko match
CETUSUSDT,no coingecko match
CFGUSDT,no coingecko match
CFXUSDT,no coingecko match
CGPTUSDT,no coingecko match
CHESSUSDT,no coingecko match
CHILLGUYUSDT,no coingecko match
CHIPUSDT,no coingecko match
CHRUSDT,no coingecko match
CHZUSDT,no coingecko match
CIENUSDT,no coingecko match
CKBUSDT,no coingecko match
CLANKERUSDT,no coingecko match
CLOUSDT,no coingecko match
CLUSDT,no coingecko match
COAIUSDT,no coingecko match
COCOSUSDT,no coingecko match
COHRUSDT,no coingecko match
